Date,Time,Currency,Buy,Sell
2026-07-01,13:18:25,EUR,142.8364,142.8364
2026-07-01,13:21:58,EUR,142.8364,142.8364
2026-07-01,13:34:53,EUR,138.0007,142.8364
2026-07-01,15:23:59,EUR,137.79014,142.62204
2026-07-01,15:49:58,EUR,137.79014,142.62204
2026-07-01,17:20:14,EUR,137.79014,142.62204
2026-07-01,17:22:38,EUR,137.79014,142.62204
2026-07-01,17:25:45,EUR,137.79014,142.62204
2026-07-01,17:45:32,EUR,137.79014,142.62204
2026-07-01,20:01:44,EUR,137.79014,142.62204
2026-07-01,20:48:13,EUR,137.79014,142.62204
