Date,Time,Currency,Buy,Sell
2026-07-01,13:18:25,EUR,142.8364,142.8364
2026-07-01,13:21:58,EUR,142.8364,142.8364
2026-07-01,13:34:53,EUR,138.0007,142.8364
2026-07-01,15:23:59,EUR,137.79014,142.62204
2026-07-01,15:49:58,EUR,137.79014,142.62204
2026-07-01,17:20:14,EUR,137.79014,142.62204
2026-07-01,17:22:38,EUR,137.79014,142.62204
2026-07-01,17:25:45,EUR,137.79014,142.62204
2026-07-01,17:45:32,EUR,137.79014,142.62204
2026-07-01,20:01:44,EUR,137.79014,142.62204
2026-07-01,20:48:13,EUR,137.79014,142.62204
2026-07-01,22:27:17,EUR,137.79014,142.62204
2026-07-01,22:32:44,EUR,137.79014,142.62204
2026-07-01,23:32:44,EUR,137.79014,142.62204
2026-07-02,00:06:11,EUR,137.79014,142.62204
2026-07-02,00:31:04,EUR,137.79014,142.62204
2026-07-02,00:55:54,EUR,137.79014,142.62204
2026-07-02,09:07:57,EUR,137.79014,142.62204
2026-07-02,10:53:27,EUR,137.79014,142.62204
2026-07-02,10:55:04,EUR,137.79014,142.62204
2026-07-02,11:07:13,EUR,137.79014,142.62204
2026-07-02,13:51:57,EUR,137.7921,142.6261
2026-07-02,13:52:36,EUR,137.7921,142.6261
2026-07-02,13:56:25,EUR,137.7921,142.6261
2026-07-03,23:43:01,EUR,137.7921,142.6261
2026-07-05,12:03:13,EUR,138.3541,143.1906
2026-07-05,12:13:12,EUR,138.3541,143.1906
2026-07-06,18:05:27,EUR,138.41787,143.25697
2026-07-09,10:52:24,EUR,138.18474,143.02194
