Date,Time,Currency,Buy,Sell
2026-07-01,17:45:34,EUR,139.0682,142.1189
2026-07-01,20:01:46,EUR,139.0682,142.1189
2026-07-01,20:48:14,EUR,139.0682,142.1189
2026-07-01,22:27:19,EUR,139.0682,142.1189
2026-07-01,22:32:46,EUR,139.0682,142.1189
2026-07-01,23:32:45,EUR,139.0682,142.1189
2026-07-02,00:06:15,EUR,139.0682,142.1189
2026-07-02,00:31:06,EUR,139.0682,142.1189
2026-07-02,00:55:59,EUR,139.0682,142.1189
2026-07-02,09:07:59,EUR,139.0682,142.1189
2026-07-02,10:53:30,EUR,139.0682,142.1189
2026-07-02,10:55:08,EUR,139.0682,142.1189
2026-07-02,11:07:16,EUR,139.0682,142.1189
2026-07-02,13:51:59,EUR,138.9039,141.9536
2026-07-02,13:52:38,EUR,138.9039,141.9536
2026-07-02,13:56:26,EUR,138.9039,141.9536
2026-07-03,23:43:03,EUR,138.9039,141.9536
2026-07-05,12:03:16,EUR,139.6036,142.659
2026-07-05,12:13:14,EUR,139.6036,142.659
2026-07-06,18:05:30,EUR,139.5545,142.6095
2026-07-09,10:52:26,EUR,139.3335,142.3868
2026-07-09,12:48:18,EUR,139.444,142.4981
2026-07-09,12:55:53,EUR,139.444,142.4981
2026-07-10,02:51:30,EUR,139.444,142.4981
2026-07-13,14:45:47,EUR,139.1371,142.1888
2026-07-17,12:42:32,EUR,139.9964,143.055
2026-07-17,12:57:51,EUR,139.9964,143.055
2026-07-17,13:05:02,EUR,139.9964,143.055
2026-07-17,13:07:42,EUR,139.9964,143.055
2026-07-17,13:23:30,EUR,139.9964,143.055
2026-07-17,09:43:51,EUR,139.9964,143.055
2026-07-17,11:12:43,EUR,139.9964,143.055
2026-07-17,12:55:49,EUR,139.9964,143.055
2026-07-17,14:23:51,EUR,139.9964,143.055
2026-07-17,16:07:10,EUR,139.9964,143.055
2026-07-17,17:55:34,EUR,139.9964,143.055
2026-07-17,18:48:12,EUR,139.9964,143.055
2026-07-17,19:56:35,EUR,139.9964,143.055
2026-07-17,20:42:00,EUR,139.9964,143.055
2026-07-17,21:39:55,EUR,139.9964,143.055
2026-07-17,22:36:56,EUR,139.9964,143.055
2026-07-17,23:40:55,EUR,139.9964,143.055
2026-07-18,01:10:45,EUR,139.9964,143.055
2026-07-18,04:36:12,EUR,139.9964,143.055
2026-07-18,06:52:20,EUR,139.9964,143.055
2026-07-18,08:30:29,EUR,139.9964,143.055
2026-07-18,10:07:23,EUR,139.9964,143.055
2026-07-18,11:43:49,EUR,139.9964,143.055
2026-07-18,12:43:13,EUR,139.9964,143.055
2026-07-18,14:14:02,EUR,139.9964,143.055
2026-07-18,15:43:26,EUR,139.9964,143.055
2026-07-18,16:42:07,EUR,139.9964,143.055
2026-07-18,17:45:41,EUR,139.9964,143.055
2026-07-18,18:42:31,EUR,139.9964,143.055
2026-07-18,20:38:05,EUR,139.9964,143.055
2026-07-18,21:39:00,EUR,139.9964,143.055
2026-07-18,22:36:32,EUR,139.9964,143.055
2026-07-18,23:40:43,EUR,139.9964,143.055
2026-07-19,01:15:36,EUR,139.9964,143.055
2026-07-19,04:58:02,EUR,139.9964,143.055
2026-07-19,07:23:23,EUR,139.6281,142.6838
2026-07-19,09:43:33,EUR,139.6281,142.6838
2026-07-19,11:02:28,EUR,139.6281,142.6838
2026-07-19,12:43:57,EUR,139.6281,142.6838
2026-07-19,14:18:31,EUR,139.6281,142.6838
2026-07-19,15:44:35,EUR,139.6281,142.6838
2026-07-19,16:41:49,EUR,139.6281,142.6838
2026-07-19,17:46:45,EUR,139.6281,142.6838
2026-07-19,18:45:35,EUR,139.6281,142.6838
2026-07-19,20:01:13,EUR,139.6281,142.6838
2026-07-19,20:45:03,EUR,139.6281,142.6838
2026-07-19,21:39:52,EUR,139.6281,142.6838
2026-07-19,22:39:30,EUR,139.6281,142.6838
2026-07-19,23:45:07,EUR,139.6281,142.6838
2026-07-20,01:18:54,EUR,139.6281,142.6838
2026-07-20,05:25:54,EUR,139.665,142.7209
2026-07-20,08:32:30,EUR,139.665,142.7209
2026-07-20,11:32:56,EUR,139.665,142.7209
2026-07-20,13:33:05,EUR,139.665,142.7209
2026-07-20,15:43:15,EUR,139.665,142.7209
2026-07-20,17:13:52,EUR,139.665,142.7209
2026-07-20,19:20:30,EUR,139.665,142.7209
2026-07-20,20:58:29,EUR,139.665,142.7209
2026-07-20,21:56:24,EUR,139.665,142.7209
2026-07-20,22:44:35,EUR,139.665,142.7209
2026-07-20,23:45:33,EUR,139.665,142.7209
2026-07-21,01:16:03,EUR,139.665,142.7209
2026-07-21,04:55:57,EUR,139.665,142.7209
2026-07-21,07:26:35,EUR,139.3903,142.4443
2026-07-21,10:11:55,EUR,139.3903,142.4443
2026-07-21,12:18:22,EUR,139.3903,142.4443
2026-07-21,16:13:08,EUR,139.3903,142.4443
2026-07-21,18:06:40,EUR,139.3903,142.4443
2026-07-21,20:11:04,EUR,139.3903,142.4443
2026-07-21,21:51:54,EUR,139.3903,142.4443
2026-07-21,22:43:37,EUR,139.3903,142.4443
2026-07-21,23:46:29,EUR,139.3903,142.4443
2026-07-22,01:14:21,EUR,139.3903,142.4443
2026-07-22,04:55:42,EUR,139.3903,142.4443
2026-07-22,07:29:22,EUR,139.3733,142.4275
2026-07-22,10:11:11,EUR,139.3733,142.4275
2026-07-22,12:20:06,EUR,139.3733,142.4275
2026-07-22,14:52:54,EUR,139.3733,142.4275
2026-07-22,16:12:31,EUR,139.3733,142.4275
2026-07-22,18:00:42,EUR,139.3733,142.4275
2026-07-22,19:10:46,EUR,139.3733,142.4275
2026-07-22,20:52:37,EUR,139.3733,142.4275
2026-07-22,21:55:58,EUR,139.3733,142.4275
2026-07-22,22:49:14,EUR,139.3733,142.4275
2026-07-22,23:50:57,EUR,139.3733,142.4275
2026-07-23,01:21:31,EUR,139.3733,142.4275
2026-07-23,05:01:30,EUR,139.619,142.6752
2026-07-23,07:33:12,EUR,139.619,142.6752
